arm	launch	cache_create	cache_read	input	output	cost_usd
A	1	11939	11467	18	413	0.02711
A	2	11472	0	10	110	0.0235
A	3	11470	0	10	177	0.02383
A	4	11901	11471	18	427	0.0271
A	5	11470	0	10	151	0.0237
A	6	15419	35499	34	861	0.03873
A	7	11468	0	10	133	0.02361
A	8	11468	0	10	504	0.02547
A	9	11469	0	10	296	0.02443
A	10	11470	0	10	267	0.02428
B	1	36316	0	10	261	0.07395
B	2	18772	54620	18	646	0.04625
B	3	18008	18306	10	158	0.03865
B	4	18016	18306	10	1822	0.04698
B	5	18539	54624	18	488	0.045
B	6	18010	18306	10	232	0.03902
B	7	18367	54620	18	342	0.04392
B	8	18012	18306	10	186	0.03879
B	9	18022	18306	10	83	0.0383
B	10	18010	18306	10	242	0.03907
